id_estudiante,nombre,era,parcial_1,parcial_2,engagement_hasta_p1,engagement_hasta_p2,parcial_1_modulos_unicos,parcial_1_temas_unicos,parcial_1_visitas,parcial_1_visitas_por_tema,parcial_1_tiempo_por_visita,promedio_ams,promedio_quices,reprobo
auto_001,[Anonimo],Hibrida,0.15013307296375178,0.0,50.86043881392216,74.5486172193607,1,7,80,10.0,7.342305925131597,3.18003399471758,1.0350840973293198,1
auto_002,[Anonimo],Hibrida,2.047177789919865,0.5427036734728592,25.102918075333754,34.29997415890641,6,14,59,3.933333333333333,5.461287207867251,0.40491775234370775,1.51724493498739,1
auto_003,[Anonimo],Presencial,4.130092337290333,3.5970841743096376,60.70976559932173,68.47558065523222,3,7,74,9.25,5.3835174005337425,3.3382313089852325,0.8395295927371733,1
auto_004,[Anonimo],Presencial,2.8276834303184195,2.344311963677432,62.5438498864166,67.6294106946601,3,5,41,6.833333333333333,5.0016712112465616,3.547714457536559,2.4311442457672854,1
auto_005,[Anonimo],Hibrida,2.1845916962124843,2.2647883110769196,41.559138838979585,30.850324267720463,5,9,45,4.5,2.4163645154251006,2.0280374717156406,2.3797436317825023,1
auto_006,[Anonimo],Presencial,3.823906692241617,3.104986887474987,74.39754459549906,92.95327395260253,13,48,452,9.224489795918368,17.745488228496825,3.519428491386358,4.764015679693916,0
auto_007,[Anonimo],Virtual,3.038927842796038,3.7461326468195777,100.0,98.89142360194934,17,32,491,14.878787878787879,23.193805458609486,3.758418007673417,4.443751983707029,0
auto_008,[Anonimo],Presencial,3.0399224097803703,1.592938079389316,61.656395690710035,71.70122825454021,15,34,207,5.914285714285715,18.84066841862247,4.3465114261890205,4.380423327155739,0
auto_009,[Anonimo],Presencial,4.275561298069552,4.762261796751127,92.57012686502925,81.93978379931671,18,32,289,8.757575757575758,22.96466937615692,4.152927650121937,4.030042997307582,0
auto_010,[Anonimo],Presencial,2.9958441753889407,2.561252792862078,86.96230528158969,80.16770863651189,13,45,407,8.847826086956522,11.22892580261575,4.060091037777241,4.194156002711725,0
auto_011,[Anonimo],Hibrida,4.266418750636448,4.482169674042582,78.36763685388163,97.71851084610398,19,46,491,10.446808510638299,26.27446687444455,3.6965266324379766,4.624752450353079,0
auto_012,[Anonimo],Hibrida,4.123813904997766,3.8716947954330054,96.1034458103416,97.63042292076317,17,44,483,10.733333333333333,28.81007905758805,4.122036669161373,3.3336113012601754,0
auto_013,[Anonimo],Presencial,2.591935289846582,2.9756686114618636,79.46526567128235,98.9980204317078,18,32,317,9.606060606060606,22.97530772318772,3.825760391940146,3.825280336391522,0
auto_014,[Anonimo],Presencial,3.3257047433650415,2.7932875646333546,79.66991034801515,83.88760375742997,19,41,374,8.904761904761905,29.091318577176214,4.17468336595547,3.6137156256218796,0
auto_015,[Anonimo],Hibrida,2.7382889887734563,1.779116733666769,44.64671773688643,31.227740007307855,5,14,89,5.933333333333334,6.18699671303102,2.005684414151206,2.9689326403142267,1
auto_016,[Anonimo],Presencial,2.6734513069931025,3.2257538793557403,42.384686131457464,56.30536212877467,7,6,25,3.5714285714285716,7.401584667212422,2.1078888985846054,2.1700689454268156,1
auto_017,[Anonimo],Hibrida,3.4749170163834284,3.1068286288541436,88.1576308057306,87.25870762817453,18,44,350,7.777777777777778,22.036134678908944,3.3060253244687914,3.701512856639463,0
auto_018,[Anonimo],Hibrida,1.7411185816824795,1.574053665857006,39.45709606749962,51.44398420267005,3,8,13,1.4444444444444444,6.058166407236344,1.8182149586891068,2.3074678603758296,1
auto_019,[Anonimo],Presencial,4.348373356497817,4.789224504924694,59.16903366481479,64.42114234021561,13,47,270,5.625,18.029235581780867,3.413399481822693,3.793889627487765,0
auto_020,[Anonimo],Presencial,3.623922779768853,2.7047496345121917,72.56423235125212,62.13305007182341,18,49,379,7.58,16.761688187325227,3.231572129902804,4.456736866008703,0
auto_021,[Anonimo],Virtual,3.381742863715851,3.4390374022994052,65.39953722722825,72.04248488093394,18,41,323,7.690476190476191,12.536480451008376,4.055196688713233,4.26881495147494,0
auto_022,[Anonimo],Hibrida,4.795658903188955,4.141722049311221,74.23770510461574,100.0,14,33,492,14.470588235294118,17.834849011245563,4.027643865514596,4.214093123905288,0
auto_023,[Anonimo],Hibrida,2.3318086729892133,1.9525070596025902,71.24375856308131,81.17362314822591,2,5,40,6.666666666666667,3.631727356389192,2.1351645760520346,1.7053130403344394,1
auto_024,[Anonimo],Presencial,2.240710161484815,1.984077540715388,65.72181118035729,70.14663365030266,6,5,12,2.0,3.3073482777604637,1.9789941792381156,1.6872969384080174,1
auto_025,[Anonimo],Hibrida,3.8597226997955167,2.6595895829273553,74.4861194242611,90.23955344383009,19,30,427,13.774193548387096,14.1766187098918,4.144831708102053,4.257647160812233,0
auto_026,[Anonimo],Presencial,3.2342139948513515,2.4669117691590907,75.69627281770074,82.80295746973185,17,31,474,14.8125,11.171306105690677,4.230478543364198,3.5828590949826875,0
auto_027,[Anonimo],Hibrida,3.218688915410404,3.7293326508582876,85.18117058646342,92.27651288909136,16,32,305,9.242424242424242,21.047322756344684,4.166864284698956,5.0,0
auto_028,[Anonimo],Virtual,4.16575987368603,4.397474586836907,48.037327992184736,42.12107627059371,19,49,220,4.4,21.90459465438803,3.404607790318715,4.285253604177258,0
auto_029,[Anonimo],Presencial,4.092878754622078,3.7552950082257377,67.71959646281644,75.05807672071242,17,46,263,5.595744680851064,27.43826122561011,3.9896180893627133,3.7096758487230246,0
auto_030,[Anonimo],Presencial,4.7811190150625,4.626993090170236,77.53540430735367,92.88983847152312,13,49,364,7.28,21.539632248353637,4.118484177632797,3.694307376305686,0
auto_031,[Anonimo],Presencial,2.1173961918807622,1.6408506884988876,33.24351501620406,29.88289349520381,4,12,54,4.153846153846154,5.990335934039787,2.5906770532559014,2.5277709990020494,1
auto_032,[Anonimo],Presencial,0.8854489510766663,1.3993989825734556,34.64188421525611,53.88684242772559,6,12,75,5.769230769230769,5.33947057101292,2.2450964253301544,0.925196629249557,1
auto_033,[Anonimo],Presencial,4.536363332406043,4.116151785729545,52.48136752749751,56.56430728604625,17,35,347,9.63888888888889,20.80557786374842,3.996293774384088,4.558416887764977,0
auto_034,[Anonimo],Presencial,3.529176132582415,3.3682813878633238,32.522666876543326,28.64497176115792,2,11,80,6.666666666666667,2.8074576026246465,1.8197597242047496,3.148638916473368,1
auto_035,[Anonimo],Virtual,3.5312201096333538,3.918838196118593,67.37565133409245,82.3519721032949,14,43,363,8.25,21.317011206264933,3.6839764387458103,3.634184130545736,0
auto_036,[Anonimo],Hibrida,3.975140144376186,3.2087172534686417,60.724000090915666,62.85605773353297,15,49,423,8.46,28.160370908433247,3.463153741286807,4.945220342577891,0
auto_037,[Anonimo],Presencial,5.0,5.0,67.5078553234413,80.10300419830239,19,44,471,10.466666666666667,17.92625250996441,4.124009135826839,4.024654165760111,0
auto_038,[Anonimo],Virtual,5.0,3.781723154153974,72.78569570812981,74.86810938554444,15,43,345,7.840909090909091,15.926516037996002,4.087426926279943,4.384419837984448,0
auto_039,[Anonimo],Presencial,1.8998428957408506,2.57762817440853,36.29920137944936,40.70093994415032,6,6,27,3.857142857142857,2.6206046891629002,2.691293058101202,1.4884012744360275,1
auto_040,[Anonimo],Virtual,3.671762366895728,3.1481570165245434,48.53320731481117,58.46880935815409,18,35,244,6.777777777777778,13.028910438707147,3.1452791064546672,4.181557813872262,0
auto_041,[Anonimo],Presencial,4.1741539539363846,3.7285347052412154,85.76479436264559,93.67376493854565,12,46,474,10.085106382978724,18.655429686836378,4.338828151544996,4.155554995571598,0
auto_042,[Anonimo],Virtual,4.421358798111685,2.987352695401919,90.29850049534467,75.34318269082729,12,40,233,5.682926829268292,21.91359648323059,4.254253236750878,3.0551753539519235,0
auto_043,[Anonimo],Hibrida,3.5755326621099655,3.0026558316833496,82.81826389607407,76.60582649513016,18,45,340,7.391304347826087,11.612308103392035,3.8147120778356722,5.0,0
auto_044,[Anonimo],Virtual,2.3972038227456043,1.4733199041294738,56.140236275395836,70.43433612330399,7,6,54,7.714285714285714,2.0001843130722943,0.30486304458134184,1.5527755534219523,1
auto_045,[Anonimo],Virtual,3.9610495314339813,3.2964617242098977,72.58210159262978,76.26073570361432,18,44,221,4.911111111111111,25.10267234890392,4.517674488959014,3.801402341927006,0
auto_046,[Anonimo],Presencial,4.148420162363975,3.7660335828906475,74.9217442172465,74.68443118953228,13,33,379,11.147058823529411,21.732478365673252,4.42338922801707,3.4488651297720723,0
auto_047,[Anonimo],Virtual,4.266146976438122,4.540821945121865,82.18553267474292,73.59979252216817,12,47,430,8.958333333333334,26.568773418779816,3.214188412755763,4.173780806901776,0
auto_048,[Anonimo],Presencial,4.0951106274301186,3.919672638270494,83.02008586461697,77.22272265185849,18,32,237,7.181818181818182,11.603735136242266,4.392094912053291,4.043348849707198,0
auto_049,[Anonimo],Presencial,4.387258350328729,4.271864342369397,66.18991441465805,50.97192801503857,13,37,269,7.078947368421052,19.536777554662486,3.861186836980489,4.177834474281615,0
auto_050,[Anonimo],Presencial,1.193937712868307,0.23662607956096982,45.56906753171403,49.55626034469871,4,12,32,2.4615384615384617,7.10690441255589,1.2435080320319245,3.4373743317729275,1
auto_051,[Anonimo],Hibrida,3.4091887722377785,2.5807363184761405,80.48736485538289,79.50298904957242,19,37,438,11.526315789473685,26.573058122365786,3.9439181946010167,4.253120494652963,0
auto_052,[Anonimo],Presencial,2.573086699557068,3.352321710567855,41.86029270630958,37.19441379645643,6,8,41,4.555555555555555,5.394469703679736,4.161115704347196,2.890048237669375,1
auto_053,[Anonimo],Hibrida,2.9898676132712816,2.2487469924133334,61.09467071649018,65.41343646481064,3,13,27,1.9285714285714286,5.086767966439365,0.6514859775145763,3.445512874367969,1
auto_054,[Anonimo],Hibrida,2.139239181085982,2.8329641323203596,80.45808741929042,89.0977937278178,4,8,24,2.6666666666666665,2.5103383129354464,1.3538210795245897,2.884726474199116,1
auto_055,[Anonimo],Virtual,4.1204410063063195,3.6746042869777997,76.00591953515233,100.0,16,46,249,5.297872340425532,12.486916828617407,3.2282723229700987,4.681281426356226,0
auto_056,[Anonimo],Virtual,4.972144703343275,4.673517465029378,91.92550974244205,81.80667554680991,12,37,204,5.368421052631579,27.502672372423042,3.6638820864181625,4.820307281744144,0
auto_057,[Anonimo],Hibrida,3.7960827868196674,4.1383018829576255,79.91715355151396,96.51096398451918,19,40,325,7.926829268292683,29.418804992092372,4.007216830086286,5.0,0
auto_058,[Anonimo],Presencial,3.871630977355819,4.334766430519013,55.823437576892154,70.55445318704287,5,8,93,10.333333333333334,4.33235808725928,1.1848525677260215,1.3616200597906616,1
