id_estudiante,nombre,era,parcial_1,engagement_hasta_p1,parcial_1_modulos_unicos,parcial_1_temas_unicos,parcial_1_visitas,parcial_1_visitas_por_tema,parcial_1_tiempo_por_visita,promedio_ams,promedio_quices,reprobo
auto_001,[Anonimo],Presencial,5.0,63.171287443973476,15,40,264,6.439024390243903,12.503715844051008,3.9722999752735806,3.2328506868077707,0
auto_002,[Anonimo],Virtual,4.522725682385802,81.04855818621414,15,39,376,9.4,23.711305744579427,3.2827954001225494,4.456217624629583,0
auto_003,[Anonimo],Hibrida,2.7364410238321906,68.63690857953071,13,31,202,6.3125,18.606117897989254,3.133186449938174,4.249763492547705,0
auto_004,[Anonimo],Hibrida,3.4610361489936237,65.48552601285186,14,32,341,10.333333333333334,14.010494534006735,2.913755570647165,5.0,0
auto_005,[Anonimo],Presencial,3.6926196089158054,44.72230296011415,1,11,53,4.416666666666667,7.285224555193571,3.020448417589375,1.8927676422330815,1
auto_006,[Anonimo],Presencial,3.304631374066853,62.577092130967515,16,49,345,6.9,11.284178741502682,4.831537089293785,3.8955197563339845,0
auto_007,[Anonimo],Presencial,4.11067359970236,68.35620833583381,15,34,492,14.057142857142857,21.639428038287974,2.9683637593103773,3.935746259572097,0
auto_008,[Anonimo],Virtual,2.725242886907064,32.59153584671515,4,9,70,7.0,6.954900503388576,1.1715725895860685,3.0610984518713784,1
auto_009,[Anonimo],Hibrida,3.151148669895342,98.57670159499668,17,35,392,10.88888888888889,25.951182012743764,3.124112805812305,3.746446052933696,0
auto_010,[Anonimo],Hibrida,3.7583322507567396,75.42316262366074,13,38,272,6.9743589743589745,16.207239178471475,3.5394156221979833,3.414479072912073,0
auto_011,[Anonimo],Presencial,1.531112861951649,66.60329390408897,19,31,339,10.59375,19.104402981636024,4.001816275411212,4.603904654230501,0
auto_012,[Anonimo],Virtual,3.082928651065997,77.56775892881066,17,41,386,9.19047619047619,10.232410798162013,3.479930476076995,3.841674985369386,0
auto_013,[Anonimo],Virtual,2.970700903395458,55.352159875666686,5,14,56,3.7333333333333334,6.907802144714373,2.5914201148453504,1.5619173945109472,1
auto_014,[Anonimo],Presencial,2.530224741549199,38.98169292171246,3,6,21,3.0,6.992805067746452,2.0376590189058588,1.5132255189759154,1
auto_015,[Anonimo],Presencial,4.942687912752144,82.3700004005211,18,41,397,9.452380952380953,19.59877669434247,2.5505425631664362,3.98505476304885,0
auto_016,[Anonimo],Presencial,3.7174343861231582,45.18888601172692,6,5,89,14.833333333333334,2.0383152303010013,2.254619433450661,4.057234270011812,1
auto_017,[Anonimo],Presencial,2.003689507197704,46.465141478232475,2,11,97,8.083333333333334,3.7222287990494767,2.1589426415997264,2.2916011504490217,1
auto_018,[Anonimo],Hibrida,3.891518404100264,68.09018111226383,17,43,261,5.931818181818182,23.89963772253085,4.575670215609228,3.9924034356150053,0
auto_019,[Anonimo],Hibrida,1.4883884562995815,45.36765261388414,4,8,17,1.8888888888888888,7.887117068164541,0.28901620191721733,2.577146975034792,1
