semestre,era,id_estudiante,estado,nota_100,parcial_1,parcial_1_modo,parcial_2,parcial_2_modo,parcial_3,parcial_3_modo,fase_1,fase_1_modo,fase_2,fase_2_modo,taller_1,taller_1_modo,taller_2,taller_2_modo,taller_3,taller_3_modo,am_1,am_1_modo,am_2,am_2_modo,am_3,am_3_modo,am_4,am_4_modo,am_5,am_5_modo,am_6,am_6_modo,quiz_1,quiz_1_modo,quiz_2,quiz_2_modo,quiz_3,quiz_3_modo,quiz_4,quiz_4_modo,quiz_5,quiz_5_modo,quiz_6,quiz_6_modo,promedio_ams,promedio_quices,actividades_n_realizadas,actividades_tiempo_promedio,actividades_tiempo_total,actividades_visitas_total,engagement_hasta_p1,engagement_hasta_p2,engagement_hasta_p3,parcial_1_modulos_unicos,parcial_1_temas_unicos,parcial_1_tiempo_hrs,parcial_1_tiempo_por_visita,parcial_1_visitas,parcial_1_visitas_por_tema,parcial_2_modulos_unicos,parcial_2_temas_unicos,parcial_2_tiempo_hrs,parcial_2_tiempo_por_visita,parcial_2_visitas,parcial_2_visitas_por_tema,parcial_3_modulos_unicos,parcial_3_temas_unicos,parcial_3_tiempo_hrs,parcial_3_tiempo_por_visita,parcial_3_visitas,parcial_3_visitas_por_tema,promedio_tiempo_por_visita,total_modulos,total_temas,total_tiempo_hrs,total_visitas
202320,formato_antiguo,00b3a84bea6a2e92337a5355fe21f474df3f5b369cdc51f84d64512ac59055d3,REPROBÓ,1.18,0.71,ind,0.0,ind,0.0,ind,4.55,grup,4.75,grup,3.0,grup,0.0,grup,0.0,grup,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,0.0,0.0,0.0,0.0,4.899444444444445,9.57777777777778,10.823333333333334,4.0,8.0,4.899444444444445,11.306410256410258,26.0,3.25,4.0,5.0,4.678333333333334,14.773684210526318,19.0,3.8,6.0,7.0,1.2455555555555555,2.989333333333333,25.0,3.571428571428572,7.505369127516778,26.0,49.0,18.63833333333333,149.0
202320,formato_antiguo,0225069088595c227ac35f2105e2f61f07562692f707535d66e7005c711e8dfe,APROBÓ,4.29,4.41,ind,4.28,ind,3.58,ind,5.0,grup,4.85,grup,3.5,grup,4.75,grup,5.0,grup,,,,,,,,,,,,,,,,,,,,,,,,,4.69,,1.0,0.0402777777777777,0.0402777777777777,5.0,2.002222222222222,25.266666666666666,45.8475,6.0,12.0,2.002222222222222,4.142528735632184,29.0,2.4166666666666665,12.0,18.0,23.264444444444443,24.488888888888887,57.0,3.1666666666666665,6.0,8.0,20.58083333333333,53.68913043478261,23.0,2.875,20.128506375227687,39.0,75.0,61.39194444444445,183.0
202320,formato_antiguo,02492b11909b2b9829e4b8e87398b9311c3737219dda02e905c15fcfc291d232,APROBÓ,4.39,5.21,ind,4.45,ind,3.18,ind,4.95,grup,4.9,grup,3.85,grup,4.9,grup,4.9,grup,,,,,,,,,,,,,,,,,,,,,,,,,4.55,,0.0,0.0,0.0,0.0,12.123333333333331,30.27555555555556,30.460833333333333,10.0,18.0,12.123333333333331,11.365625,64.0,3.555555555555556,6.0,10.0,18.15222222222222,40.33827160493826,27.0,2.7,6.0,7.0,0.1852777777777778,0.653921568627451,17.0,2.4285714285714284,16.297900262467188,34.0,77.0,68.99444444444444,254.0
202320,formato_antiguo,069c84b35a20bdcab258a42cd3fc83c35a363f6d192c2d57be3391ac62689b7b,APROBÓ,4.7,6.31,ind,4.35,ind,3.69,ind,5.0,grup,5.0,grup,4.8,grup,5.0,grup,2.55,grup,,,,,,,,,,,,,,,,,,,,,,,,,4.51,,0.0,0.0,0.0,0.0,10.478333333333332,20.186944444444443,24.060277777777777,9.0,16.0,10.478333333333332,9.8234375,64.0,4.0,10.0,14.0,9.70861111111111,14.562916666666666,40.0,2.857142857142857,10.0,14.0,3.8733333333333335,7.042424242424243,33.0,2.357142857142857,11.335507246376812,43.0,91.0,60.833888888888886,322.0
202320,formato_antiguo,0e8e664a15da4b94fd73a34258e28732bd7cb54881836d3422202ab817f694ed,APROBÓ,3.02,2.81,ind,2.38,ind,2.33,ind,4.55,grup,4.75,grup,4.4,grup,4.75,grup,3.9,grup,,,,,,,,,,,,,,,,,,,,,,,,,2.62,,0.0,0.0,0.0,0.0,5.396944444444444,6.458888888888889,8.668888888888889,6.0,14.0,5.396944444444444,7.195925925925926,45.0,3.2142857142857144,7.0,14.0,1.0619444444444444,2.197126436781609,29.0,2.071428571428572,6.0,11.0,2.21,5.303999999999999,25.0,2.272727272727273,7.966795366795367,40.0,97.0,34.39,259.0
202320,formato_antiguo,10218c9778d97cf375ba894b69cb5938f4c105a830eb89007984a42652d73c64,REPROBÓ,2.65,2.59,ind,1.55,ind,2.1,ind,4.7,grup,4.8,grup,3.05,grup,2.95,grup,3.2,grup,,,,,,,,,,,,,,,,,,,,,,,,,2.37,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202320,formato_antiguo,1230c27c018962955d1ffd82d94c835cbada1690a926498183c89289699c601a,APROBÓ,4.47,4.66,ind,4.03,ind,4.27,ind,4.9,grup,5.0,grup,4.1,grup,4.9,grup,4.8,grup,,,,,,,,,,,,,,,,,,,,,,,,,4.92,,2.0,2.4522222222222223,4.904444444444445,8.0,11.799166666666666,46.89888888888888,69.17416666666666,7.0,15.0,11.799166666666666,22.837096774193547,31.0,2.066666666666667,8.0,11.0,35.09972222222222,51.36544715447154,41.0,3.727272727272727,9.0,11.0,22.275277777777777,25.70224358974359,52.0,4.727272727272728,29.370214521452148,37.0,75.0,98.87972222222224,202.0
202320,formato_antiguo,1250ceaac19b2b3a75c283338d5344ab14669a34304e5fd0a00e05dde388dfa6,APROBÓ,4.19,3.66,ind,4.46,ind,3.48,ind,4.9,grup,5.0,grup,4.5,grup,4.9,grup,5.0,grup,,,,,,,,,,,,,,,,,,,,,,,,,4.92,,2.0,3.0075000000000003,6.015,21.0,56.055,91.8825,121.00777777777778,9.0,18.0,56.055,29.50263157894737,114.0,6.333333333333333,10.0,14.0,35.8275,32.570454545454545,66.0,4.714285714285714,10.0,13.0,29.12527777777778,16.032262996941895,109.0,8.384615384615385,23.087011884550083,57.0,115.0,226.6375,589.0
202320,formato_antiguo,14403a1ca86aee7d416b186bc31d8f67df434a682bf465967495aa4e70f36de2,APROBÓ,3.45,2.06,ind,3.09,ind,3.28,ind,4.78,grup,5.0,grup,5.0,grup,5.0,grup,5.0,grup,,,,,,,,,,,,,,,,,,,,,,,,,4.28,,0.0,0.0,0.0,0.0,67.93166666666667,108.89166666666668,160.35194444444446,11.0,23.0,67.93166666666667,32.09370078740158,127.0,5.521739130434782,12.0,17.0,40.96,35.61739130434783,69.0,4.0588235294117645,14.0,23.0,51.460277777777776,25.102574525745258,123.0,5.3478260869565215,30.200679205851618,55.0,130.0,321.13388888888886,638.0
202320,formato_antiguo,15dbd58aeb338372f608844fa985348e95e7873ab637e35f84f68fc4a78c026b,RETIRADO,0.36,0.0,ind,0.0,ind,0.0,ind,3.58,grup,0.0,grup,0.0,grup,0.0,grup,0.0,grup,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
